file,emotion,dominant_emotion,region,age,gender,dominant_gender,race,dominant_race
0 (6).jpg,"{'angry': 8.920330662648519, 'disgust': 0.00016243717020012852, 'fear': 0.20683875498294713, 'happy': 84.15493746878208, 'sad': 5.179551126467913, 'surprise': 0.05019260537875166, 'neutral': 1.4879784724465674}",happy,"{'x': 241, 'y': 305, 'w': 872, 'h': 872}",27,"{'Woman': 78.23128700256348, 'Man': 21.768710017204285}",Woman,"{'asian': 0.030457165114131882, 'indian': 0.606707183326147, 'black': 99.22777405116248, 'white': 0.0005670299054343047, 'middle eastern': 0.0002944173853301213, 'latino hispanic': 0.1342076036879544}",black
1 (33).png,"{'angry': 2.350491052895251, 'disgust': 2.879487042796484e-06, 'fear': 7.820085157161066, 'happy': 0.0001879902127440133, 'sad': 78.27494610994734, 'surprise': 0.000521205478578597, 'neutral': 11.5537687572103}",sad,"{'x': 86, 'y': 91, 'w': 172, 'h': 172}",22,"{'Woman': 0.13173518236726522, 'Man': 99.86826777458191}",Man,"{'asian': 0.01145327914855443, 'indian': 0.0005365262040868402, 'black': 6.43278426082361e-06, 'white': 98.76311421394348, 'middle eastern': 0.13631634647026658, 'latino hispanic': 1.0885752737522125}",white
0 (15).jpg,"{'angry': 0.00014768952496524435, 'disgust': 7.024679283222776e-13, 'fear': 0.00340274054906331, 'happy': 1.5307367107197933e-05, 'sad': 0.05726440576836467, 'surprise': 8.796080237516435e-05, 'neutral': 99.93908405303955}",neutral,"{'x': 160, 'y': 135, 'w': 390, 'h': 390}",30,"{'Woman': 99.86308217048645, 'Man': 0.13691585045307875}",Woman,"{'asian': 100.0, 'indian': 3.48294337815247e-08, 'black': 5.257341333007534e-14, 'white': 1.1186992443512622e-07, 'middle eastern': 8.694511962157125e-15, 'latino hispanic': 6.790280338009325e-07}",asian
0 (27).jpeg,"{'angry': 0.8790607156789729, 'disgust': 0.0013314464806696165, 'fear': 73.38673313777048, 'happy': 0.002068996705560283, 'sad': 25.60799870538704, 'surprise': 0.05277415353576264, 'neutral': 0.0700363872873865}",fear,"{'x': 111, 'y': 251, 'w': 2150, 'h': 2150}",31,"{'Woman': 99.99535083770752, 'Man': 0.004643257852876559}",Woman,"{'asian': 1.4807691797614098, 'indian': 0.8947355672717094, 'black': 0.2004183828830719, 'white': 46.62361145019531, 'middle eastern': 9.738176316022873, 'latino hispanic': 41.06229245662689}",white
1 (36).png,"{'angry': 6.918846815824509, 'disgust': 2.444203914819809e-05, 'fear': 0.48772632144391537, 'happy': 0.149097281973809, 'sad': 10.086137801408768, 'surprise': 0.02871252945624292, 'neutral': 82.32945203781128}",neutral,"{'x': 68, 'y': 128, 'w': 256, 'h': 256}",24,"{'Woman': 0.0009724228220875375, 'Man': 99.99902248382568}",Man,"{'asian': 2.168354662490657e-08, 'indian': 0.011252132389927283, 'black': 3.7338399039299475e-08, 'white': 12.894530594348907, 'middle eastern': 86.78894639015198, 'latino hispanic': 0.30527354683727026}",middle eastern
0 (7).jpeg,"{'angry': 0.23915657336453042, 'disgust': 4.89902874602444e-05, 'fear': 0.06728499248273626, 'happy': 0.023636659851992717, 'sad': 1.716732149823436, 'surprise': 0.020431980136918583, 'neutral': 97.93270814017701}",neutral,"{'x': 0, 'y': 0, 'w': 767, 'h': 1024}",35,"{'Woman': 11.02583184838295, 'Man': 88.97416591644287}",Man,"{'asian': 16.120406985282898, 'indian': 0.36804990377277136, 'black': 0.06752010667696595, 'white': 75.08662343025208, 'middle eastern': 5.153867602348328, 'latino hispanic': 3.203534334897995}",white
1 (3).jpg,"{'angry': 1.7743678763508797, 'disgust': 3.6335041642132637e-06, 'fear': 3.1146908178925514, 'happy': 5.401085090284141e-06, 'sad': 19.834810495376587, 'surprise': 3.361870142271073e-05, 'neutral': 75.27608871459961}",neutral,"{'x': 108, 'y': 146, 'w': 488, 'h': 488}",23,"{'Woman': 0.03355579974595457, 'Man': 99.96644258499146}",Man,"{'asian': 6.0639213770627975, 'indian': 3.8312315940856934, 'black': 0.885025504976511, 'white': 40.049487352371216, 'middle eastern': 21.661700308322906, 'latino hispanic': 27.508634328842163}",white
0 (16).jpg,"{'angry': 1.4047849106191279e-05, 'disgust': 9.596174398606265e-16, 'fear': 3.0660511925816536, 'happy': 96.93350195884705, 'sad': 4.045695334298216e-06, 'surprise': 0.00034282563774468144, 'neutral': 8.27112444312661e-05}",happy,"{'x': 69, 'y': 200, 'w': 495, 'h': 495}",28,"{'Woman': 50.49905180931091, 'Man': 49.50094223022461}",Woman,"{'asian': 18.414426947499926, 'indian': 6.569407526815386, 'black': 0.8609295404511417, 'white': 25.42012485385685, 'middle eastern': 7.3145691939931625, 'latino hispanic': 41.42054566267405}",latino hispanic
1 (21).png,"{'angry': 0.012996364966966212, 'disgust': 8.389749832360405e-10, 'fear': 0.0015467048797290772, 'happy': 0.06719486555084586, 'sad': 0.7633698172867298, 'surprise': 0.00019013394876310485, 'neutral': 99.15470480918884}",neutral,"{'x': 82, 'y': 62, 'w': 383, 'h': 383}",27,"{'Woman': 0.000506944525113795, 'Man': 99.99948740005493}",Man,"{'asian': 8.11432173816036e-07, 'indian': 7.0044920442731215e-06, 'black': 2.091100042600666e-08, 'white': 99.8134076372871, 'middle eastern': 0.14027989744751423, 'latino hispanic': 0.0463094763016449}",white
0 (30).png,"{'angry': 1.7506083473563194, 'disgust': 1.3071755490372e-12, 'fear': 1.0764677682573165e-05, 'happy': 0.00034342285744060064, 'sad': 97.79984951019287, 'surprise': 8.644546679738676e-14, 'neutral': 0.4491868894547224}",sad,"{'x': 186, 'y': 97, 'w': 292, 'h': 292}",33,"{'Woman': 25.11962354183197, 'Man': 74.88037347793579}",Man,"{'asian': 61.69864991919399, 'indian': 0.5292949567085556, 'black': 0.19309468360979157, 'white': 25.526785787727142, 'middle eastern': 5.332738270433155, 'latino hispanic': 6.719434950419075}",asian
